collected_funds,campaign_quality,goal,images,video,comments_count,updates_count,creators,business_venture,social,pitch_size,filler_words,duration,reach30in2,posemo,negemo,time
7102,4,7000,1,0,5,0,1,1,0,294,0,4.0943445622221,FALSE,4.42,0.34,1318
3105,6,10000,8,0,5,0,2,1,0,336,0,4.0943445622221,FALSE,2.08,0.3,1292
7500,9,7500,16,1,23,0,6,1,0,335,0,4.00733318523247,FALSE,5.07,0.3,1122
775,3,5000,0,0,2,0,1,1,0,823,0,3.80666248977032,FALSE,4.25,1.46,1233
6670,6,17000,30,0,20,12,4,0,1,1121,0,4.14313472639153,FALSE,4.28,0.27,1066
500,3,5000,0,0,8,0,5,0,1,513,0,3.40119738166216,FALSE,4.48,0.39,939
4765,6,20000,5,0,195,3,21,1,0,301,0,3.78418963391826,FALSE,3.32,0,684
3350,5,20000,2,0,53,3,3,1,0,449,0,4.78749174278205,FALSE,6.46,1.56,588
2117,9,7000,3,1,8,4,4,1,0,680,0,3.80666248977032,FALSE,5.29,0.44,1302
910,7,4500,2,1,4,2,1,0,1,424,0,4.0943445622221,FALSE,2.83,0.24,1355
1271,6,3800,5,0,13,0,1,1,0,185,0,4.11087386417331,FALSE,2.16,0,1186
